"","Domains","Solved h_add","Solved h_radd","Time h_add","Time h_radd","PL h_add","PL h_radd","EN h_add","EN h_radd"
"1","fn-counters/",4,5,8.3,1.8,28,28.8,3591.8,245.8
"2","fn-counters-inv/",4,7,8.9,1.3,46,46.2,1728.2,55.8
"3","fn-counters-rnd/",15,25,99.2,2.8,67.5,61.5,7377.4,97.7
"4","plant-watering",20,26,55.2,112.7,220.5,142.3,107889.4,33538.6
"5","sailing",29,21,4,5.7,594.6,618.8,596.3,1334.3
"6","farmland",50,50,2.8,4.1,395.6,399.1,399.1,401.9
"7","ZenoTravel",15,15,66.6,114.5,21.3,21.8,29.7,33
"8","Rover",8,8,67.7,72,20.6,20.6,277.6,277.6
"9","TPP",10,8,28.3,87.9,22.4,21.2,188.5,194
"10","Satellite",5,5,165.5,181.8,21.8,21.8,334.2,334.2
"11","Depots",3,3,8.3,8.8,18,18,21,21
